"ID"	"Type"	"Name"	"Documentation"	"Specialization"
"id-a457e2b9123f4a42883fab03d2a42b5a"	"ArchimateModel"	"Loan IT"	""	""
"id-ccb1579de4c742648205135ad3f02b23"	"Capability"	"Analyser les dépendances entre Green et un SI "	"o Analyser les dépendances entre Green et un SI en cas de portage de la solution Green "	""
"id-9a6368b15a024f66af43115d5d4161e0"	"Capability"	"Budget"	""	""
"id-fe1f2ce29b03426fa49d509c24ca2a12"	"Capability"	"Disponibilité 24/7"	"Green n’est pas disponible en 24/7, pendant la nuit applicative certains batchs bloquent les accès TP en écriture et/ou en lecture, et il y a une interruption de 2h le dimanche (préciser).

Globalement Green est susceptible de n’être pas accessible entre 20h30 et 2h mais cette indisponibilité est à étudier au cas par cas selon les actes (certains actes sont traités en différé).

Il serait à étudier de gérer une demande pendant l’indisponibilité de green et de la traiter en différé lors de la reprise de green"	""
"id-e1d0b0795fa24886a6884159fa13415b"	"Capability"	"Eligibilité au canal en ligne et éligibilité de l’utilisateur"	"Tous les actes ne peuvent être exécutés en ligne, certaines contraintes juridiques l’interdisent. 
Pour pouvoir utiliser les services en ligne il faut que l’utilisateur ait un Contrat CAEL.
Certains actes nécessitent plusieurs signataires et tous doivent avoir un CELA et être habilités à signer en ligne pour que l’acte soit éligible en ligne.
Dans le cas des entreprises, l’utilisateur n’est pas l’emprunteur et n’est pas forcément le dirigeant de l’entreprise mais une personnes de l’entreprise qui a délégation (DAF, trésorier, …). Il est nécessaire que cette personne ait un CAEL délégué qui lui permette l‘acte.
"	""
"id-e821bb033e9440a1848187cefdd813cd"	"Capability"	"Expliciter les patterns"	""	""
"id-be543e25cdf14165a8c0481284c9616a"	"Capability"	"Identification briques"	""	""
"id-4414d16305e647b09f3eda522ad36f2e"	"Capability"	"Interruptibilité, reprise et contrôle d’éligibilité"	""	""
"id-b859125d35d140069c3e22280f4f4d03"	"Capability"	"Orientation architecture"	""	""
"id-788cc9b9f74b4ef8aeb2d8a97f74ec1a"	"Capability"	"Programme Backlog"	"Apports mesurables via des KPI
Delivery régulier
Des paliers intermédiaires qui sont « états stables »

La backlog programme sera actualisée en juin 2024 @DP"	""
"id-39ba11289d7f42f6bd80427b8b46a3f8"	"Capability"	"Roadmap"	""	""
"id-b2daa6a3af4742959bf9facdf4834edf"	"Capability"	"Ré-urbanisation du domaine Crédit"	"Monolithique  Urbanisé et modularisé
"	""
"id-d548185877ba41d9ad74146f3afecd78"	"Capability"	"Selfcare client/automatisation complète"	"Il n’est pas possible ni forcément utile d’automatiser entièrement un acte de sav pour qu’il soit produit dans la foulée pour un client. L’objectif de digitaliser la relation est de fournir la demande et le résultat en ligne, un différé entre la demande et la réponse, même pour faire des traitements manuels par des collaborateurs est admissible tant que le client n’a pas à se déplacer en agence.
"	""
"id-f6a9b7e4668c43849395e1c6d85babc0"	"Capability"	"Stratégie Architecture"	""	""
"id-a32b30b9e05c450a9d188a882418c276"	"Capability"	"Vision Architecture"	""	""
"id-1039cbc6e0ed480bbf5dcada395793e5"	"CourseOfAction"	"3 objectifs"	""	""
"id-e0ed84f0043942248804247c8f56c1ee"	"CourseOfAction"	"Backlog / Avancé"	"Traiter toutes les modernisations à forte valeur :
Traiter les obsolescences principales. 
Compléter les socles pour assurer l’évolutivité à long terme et maximiser la rationalisation
Rénover tous les parcours les plus utilisés
"	""
"id-0f96401715be4023be79f0f819cf5b57"	"CourseOfAction"	"Backlog / Complet "	"100% à la cible définie en sept 2022
Tous les parcours existants sont modernisés
"	""
"id-4a3f3ecba92949f085f71a85b38ab5aa"	"CourseOfAction"	"Backlog / Essentiel"	"Traitement les modernisations les plus urgentes pour : 
Réaliser les rationalisations les + accessibles (ROI) et les + importantes
Assurer la maintenabilité et l’évolutivité à moyen terme
Rénover les parcours les plus problématiques
"	""
"id-b8579e918ce447d0a5dfc9a471376c69"	"CourseOfAction"	"Backlog / Initial"	"Initialisation des travaux sur la majorité des pans du SI crédit à moderniser. 
Affirmation des modèles à suivre.
Montée en charge du dispositif. 
Nettoyage des fonctions inutilisées
"	""
"id-196154c97d8447f7b7ac38e7cdcdba14"	"CourseOfAction"	"Besoins identifiés"	""	""
"id-0f8726bf297f425dbe1c4ece4ede8618"	"CourseOfAction"	"Cohabitation SIs (moderne / existant)"	"Comment gérer la cohabitation entre le SI modernisé et le SI existant ? (i.e. quel modèle d’architecture pour permettre une trajectoire maitrisée et éviter un big bang pour la création des nouveaux parcours ?)
"	""
"id-7d08b865d9fa49e7b30493b1a82cbafc"	"CourseOfAction"	"Corbeille de tâches"	"Utilisation des fonctions corbeille de tâches et développement de nouveaux écrans



"	""
"id-6e91fcdcb0de4acabb8a0101ac6c14d2"	"CourseOfAction"	"Disponiblité socles digitaux"	"S’assurer de la présence des socles digitaux (GED, Signature électronique, etc) et de leur capacité à répondre aux besoins macro identifiés

"	""
"id-7172e32943d943dc868a5ef26061f265"	"CourseOfAction"	"Distribution des taches"	"Disposer d’une corbeille de tâches transverse à l’ensemble des étapes pour les collaborateurs
"	""
"id-a1688d2a5bbe40e28ccd21480a427484"	"CourseOfAction"	"Désengagement GreenWeb"	"

"	""
"id-d21563f50f0541ef84d70e0017e0d154"	"CourseOfAction"	"Embarquer l'espace Client Mon Projet Immo"	"Budget 2024
o Budget Loan'IT 2024 à 9M€ (validation en cours) = 8M€ au titre de la modernisation du SI + 1M€ au titre des projets métiers
o Explications données sur ce l’intérêt de monter jusqu’à 10,5 M€ avec les provisions (si possible) afin de pouvoir embarquer l'espace Client Mon Projet Immo

"	""
"id-0da214dbb4c94bf88ca1f9c51ec29e79"	"CourseOfAction"	"Enjeux transverses"	"



"	""
"id-e202c71995134be5ad49590064339a7e"	"CourseOfAction"	"Espace unique"	"Disposer d’un espace personnel partagé entre le client et le conseiller dès la phase d’avant vente 
Le hub de lancement de l’avant vente et le réceptacle des simulations sauvegardées et des projets de crédit en cours 
"	""
"id-262d726b15304c7f9c5ca4bb5d24831b"	"CourseOfAction"	"Exposer"	"réarchitecturer l’exposition des moteurs Green et SimulCA notammen"	""
"id-98076a470b254b1ab34514b3b45cd231"	"CourseOfAction"	"Externalisation du SI Crédits"	"o Envisager une réutilisation pour d'autres solutions - exemple dans le cadre éventuel d'une externalisation du SI Crédits
o Bien garder les principes de conserver dans Green l'exhaustivité des données essentielles au fonctionnement d'un SI Crédits externalisé.
"	""
"id-d3adefd8975d415fb10224906786dc16"	"CourseOfAction"	"Gestion des la navigation écrans"	""	""
"id-70886073747447d2a31496a124c47628"	"CourseOfAction"	"Habilitation des nouveaux parcours"	""	""
"id-ab77a116c6f741f8a6b9dcc46334be29"	"CourseOfAction"	"Interopérabilité et isolation des fonctions de Green (instruction)"	"Intérêt de conserver ou non tout ou partie de Green versus effort de réutilisation et d’APIsation des programmes existants
Gestion de l’interopérabilité entre le monde Open et Host (synchrone ou évènement)



"	""
"id-25fe08eea41d45329b5b584c56b0a56d"	"CourseOfAction"	"Loan IT"	"Le programme de modernisation du SI crédits Loan IT, doit réécrire progressivement l’ensemble des parcours et réarchitecturer l’exposition des moteurs Green et SimulCA notamment.
"	""
"id-de9c3f6c81fc4ce4ba6ac24d2d24e8d8"	"CourseOfAction"	"Modernisation"	""	""
"id-36a0cc5ee2a84a8e94883e83f3127d68"	"CourseOfAction"	"Navigation"	"Piloter un parcours modulaire, qui permet la navigation flexible entre les différents produits et écrans
Continuité et cohérence sur le parcours de bout en bout (écrans et données)
Permettre le pilotage / proposition de ventes croisées 
"	""
"id-33ae95b5bf2d431f92f2bf95242cc2c9"	"CourseOfAction"	"Niveau de désengagement de GreenWeb (instruction)"	"Désengagement des écrans et de la logique de processus portés par ces derniers dans Green



"	""
"id-3db407ca799641139c6acebc2fceb76a"	"CourseOfAction"	"Orientations"	""	""
"id-4f29c68cdcf7436e895128b830d435bd"	"CourseOfAction"	"Outil BPM"	"Utilisation d’un assemblage de solution du marché


"	""
"id-a8b3b67db390466fbe17c3cb69f3785f"	"CourseOfAction"	"Pilotage du processus"	"

"	""
"id-f80f29372ff14a15a0a879f196c9bcfb"	"CourseOfAction"	"Pilotage opérationnel / projet"	"Piloter dynamiquement l’enchainement et la complétion des étapes (refonte de l’écran des feux)
"	""
"id-0ea1034d5d034dd2a1d1d9d9e3dea05e"	"CourseOfAction"	"SelfCare"	"Selfcare client/automatisation complète : 
Il n’est pas possible ni forcément utile d’automatiser entièrement un acte de sav pour qu’il soit produit dans la foulée pour un client. L’objectif de digitaliser la relation est de fournir la demande et le résultat en ligne, un différé entre la demande et la réponse, même pour faire des traitements manuels par des collaborateurs est admissible tant que le client n’a pas à se déplacer en agence.

Eligibilité au canal en ligne et éligibilité de l’utilisateur : 
Tous les actes ne peuvent être exécutés en ligne, certaines contraintes juridiques l’interdisent. 
Pour pouvoir utiliser les services en ligne il faut que l’utilisateur ait un Contrat CAEL.
Certains actes nécessitent plusieurs signataires et tous doivent avoir un CELA et être habilités à signer en ligne pour que l’acte soit éligible en ligne.
Dans le cas des entreprises, l’utilisateur n’est pas l’emprunteur et n’est pas forcément le dirigeant de l’entreprise mais une personnes de l’entreprise qui a délégation (DAF, trésorier, …). Il est nécessaire que cette personne ait un CAEL délégué qui lui permette l‘acte.

Interruptibilité, reprise et contrôle d’éligibilité : 
En agence un acte de SAV est souvent réalisé dans une unité de temps relativement courte, si il y a emprunteur et co-emprunteur, le conseiller fait venir tout le monde et tout se réalise lors du rendez-vous. En selfcare ce n’est pas possible, cela implique de permettre des interruptions et des reprises plus tard. Pendant ce délai le crédit la situation du crédit et du client ont pu bouger, ce qui nécessite de recontrôler l’éligibilité régulièrement.

Disponibilité 24/7 : 
Green n’est pas disponible en 24/7, pendant la nuit applicative certains batchs bloquent les accès TP en écriture et/ou en lecture, et il y a une interruption de 2h le dimanche (préciser).

Globalement Green est susceptible de n’être pas accessible entre 20h30 et 2h mais cette indisponibilité est à étudier au cas par cas selon les actes (certains actes sont traités en différé).

Il serait à étudier de gérer une demande pendant l’indisponibilité de green et de la traiter en différé lors de la reprise de green.
"	""
"id-7f49648ce3704db685f4642476d4ac40"	"CourseOfAction"	"Socle Données"	"
"	""
"id-07665a1f94f744ab83c04932fd3c76d3"	"CourseOfAction"	"Solution de pilotage du processus"	"Mise en œuvre du processus au niveau d’un outil type case management / BPM
Granularité et la responsabilité de pilotage des étapes
Gestion du statut / état des étapes des workflow et case
Reprise de la mécanique de l’écran de synthèse crédit (i.e. écran des feux)


"	""
"id-c286e3f87329434d83409461be10b6ae"	"CourseOfAction"	"Technologie des écrans"	"Utilisation du pattern IHM light pour la mise en œuvre des nouveaux écrans
Utilisation des patterns de coopération existant pour le passage de contexte, l’intégration dans les portails, le SSO, …
"	""
"id-f6a2fafa3e31429eaeb85ea1d1040f69"	"CourseOfAction"	"Timeline"	"Disposer d’une timeline permettant d’afficher les informations déclarées par le client sur le projet en cours (spécifique ou non au client)
Permettre le suivi de l’avancée d’un projet avec une vision différenciée pour le client et le collaborateur
"	""
"id-e3f08ef485644bb596442e73b4142442"	"CourseOfAction"	"Urbanisation des outils de simulation"	"Réutilisation des parcours en cours de développement sur le projet Eas’Immo 
Modèle urbanisation et apisation des moteurs de calcul

"	""
"id-f9325e9ac4e64bfca3bff96f513cd164"	"CourseOfAction"	"Workflow client et collaborateur"	"Disposer d’un socle permettant la mise en œuvre et le pilotage de workflow partagé entre le client, le collaborateur et le back office
Gérer l’omni-canalité dans les différents workflows

"	""
"id-ae4e3dd4b3bc48e889c88ec09eb32a85"	"Resource"	"Framework BIAN"	""	""
"id-315fa84f36534d728f2af12cc712b473"	"Resource"	"Jira"	""	""
"id-e7664a68effe418bb10528d3cf233334"	"Resource"	"PP Crédits"	""	""
"id-176f304d200c4b83bb8950546543cb1f"	"Resource"	"Service Architecture"	""	""
"id-d5c69e9c18fd4412be71eb243f928b00"	"Resource"	"SI Crédit"	""	""
